student_id,topic,field_of_interest,quiz_score,concept_score,practical_score,confidence,prior_experience,hours_per_week,preferred_content,learning_style,difficulty_preference,completion_rate,avg_session_minutes,quiz_attempts,needs_revision,topic_prerequisite_score,interest_score,knowledge_gap,recommended_action,resource_type,recommendation_priority
723,Decision Trees,Machine Learning,33.19,11.35,12.28,41.57,Some Experience,5.12,Video,Hands-on,Adaptive,18.05,36.69,4,1,10.78,28.71,77.54,Learn Fundamentals,Article,High
2788,ML Fundamentals,Machine Learning,35.7,34.85,23.09,44.0,Advanced,3.55,Project,Hands-on,Beginner,28.24,45.64,4,1,38.24,37.55,67.07,Learn Fundamentals,Article,High
3982,Model Evaluation,Machine Learning,4.41,26.96,35.31,23.08,Beginner,2.57,Practice Questions,Hands-on,Beginner,36.76,31.8,7,1,0.69,30.25,82.64,Learn Fundamentals,Article,High
401,Clustering,Machine Learning,0.0,5.93,18.13,31.27,Some Experience,13.5,Interactive Course,Hands-on,Adaptive,19.5,29.64,7,1,20.62,33.95,94.6,Learn Fundamentals,Article,High
1906,React,Web Development,8.59,36.62,12.23,13.13,Beginner,3.16,Article,Hands-on,Adaptive,6.04,24.92,5,1,2.94,10.95,82.27,Learn Fundamentals,Article,High
2633,REST APIs,Backend Development,6.44,48.58,30.07,44.14,Beginner,14.59,Video,Hands-on,Advanced,50.57,38.6,8,1,10.42,27.65,76.19,Learn Fundamentals,Article,High
1534,JavaScript,Web Development,4.11,26.92,20.5,5.39,Some Experience,2.24,Video,Visual,Adaptive,3.37,35.87,5,1,31.87,11.15,85.77,Learn Fundamentals,Video,High
3127,Clustering,Machine Learning,24.06,33.83,36.16,38.56,Some Experience,9.02,Video,Reading,Adaptive,48.02,13.78,5,1,23.3,23.54,70.59,Learn Fundamentals,Article,High
2552,Git/GitHub,Software Development,27.72,24.34,58.83,10.37,Beginner,4.45,Article,Mixed,Adaptive,7.16,40.49,6,1,35.52,3.77,67.07,Learn Fundamentals,Video,High
927,EDA,Data Science,60.39,57.63,29.12,51.29,None,8.15,Project,Hands-on,Advanced,39.8,41.66,3,0,62.52,23.64,46.69,Revision,Interactive Course,Medium
4462,Deployment,DevOps/Cloud,17.13,30.62,11.8,21.32,Beginner,1.38,Interactive Course,Mixed,Adaptive,0.0,26.83,6,1,0.0,20.5,79.89,Learn Fundamentals,Video,High
3448,SQL/Databases,Backend Development,32.32,23.24,9.77,29.08,Some Experience,4.52,Interactive Course,Mixed,Beginner,3.88,31.53,5,1,17.12,36.5,74.91,Learn Fundamentals,Video,High
1084,Git/GitHub,Software Development,17.63,54.6,35.15,39.41,Some Experience,8.78,Video,Reading,Adaptive,11.54,5.0,5,1,33.65,8.97,67.78,Learn Fundamentals,Article,High
3396,REST APIs,Backend Development,41.37,27.8,81.87,40.07,Some Experience,8.25,Practice Questions,Reading,Intermediate,28.19,47.62,4,1,56.61,33.81,54.6,Revision,Video,Medium
3444,EDA,Data Science,3.21,43.79,5.83,47.45,Advanced,1.0,Practice Questions,Hands-on,Adaptive,10.79,37.21,6,1,21.55,11.59,84.09,Learn Fundamentals,Article,High
4073,SQL/Databases,Backend Development,25.44,35.77,20.05,42.04,Beginner,5.69,Article,Hands-on,Advanced,32.11,11.35,6,1,13.71,26.05,72.54,Learn Fundamentals,Article,High
3984,Classification,Machine Learning,40.89,59.47,9.67,58.57,Beginner,6.04,Practice Questions,Reading,Beginner,26.14,42.5,4,1,41.2,39.4,59.78,Study Core Material,Interactive Course,Medium
2415,Git/GitHub,Software Development,25.15,27.76,0.0,17.49,Beginner,10.92,Video,Hands-on,Adaptive,1.88,43.14,3,1,28.19,38.33,79.1,Learn Fundamentals,Article,High
497,Model Evaluation,Machine Learning,35.29,29.77,,17.99,Beginner,17.14,Interactive Course,Reading,Adaptive,41.09,27.14,4,1,37.58,33.47,63.73,Learn Fundamentals,Article,High
2145,JavaScript,Web Development,21.09,22.5,4.28,6.38,Intermediate,6.86,Video,Reading,Advanced,15.29,19.81,5,1,19.11,16.58,81.85,Learn Fundamentals,Article,High
371,Linear Regression,Machine Learning,33.04,46.03,29.69,42.28,None,1.65,Project,Visual,Adaptive,18.39,41.87,5,1,5.21,25.98,63.73,Learn Fundamentals,Video,High
4536,EDA,Data Science,90.56,55.51,46.71,33.7,Some Experience,2.19,Practice Questions,Visual,Intermediate,33.08,22.08,1,0,55.19,53.01,28.72,Study Core Material,Documentation,Medium
846,Clustering,Machine Learning,37.42,60.5,33.98,50.91,Beginner,20.66,Practice Questions,Mixed,Advanced,32.55,40.67,3,1,17.93,35.08,56.34,Learn Fundamentals,Video,High
1308,Decision Trees,Machine Learning,25.96,13.88,34.09,11.18,None,5.24,Video,Reading,Intermediate,13.12,31.21,6,1,17.33,11.0,76.04,Learn Fundamentals,Article,High
4139,Data Preprocessing,Machine Learning,48.81,60.36,43.81,48.29,Intermediate,2.03,Video,Mixed,Adaptive,24.89,44.01,3,1,68.94,34.0,48.73,Revision,Interactive Course,Medium
2063,Overfitting & Underfitting,Machine Learning,47.51,24.61,52.21,42.47,Intermediate,11.38,Video,Visual,Beginner,19.28,27.28,4,1,34.64,23.39,58.42,Learn Fundamentals,Video,High
138,Decision Trees,Machine Learning,0.0,9.96,25.95,22.68,Some Experience,3.5,Practice Questions,Reading,Adaptive,21.66,60.03,6,1,7.85,25.35,91.82,Learn Fundamentals,Article,High
4492,Git/GitHub,Software Development,4.26,16.15,39.42,15.76,Beginner,2.71,Article,Reading,Adaptive,5.3,14.59,6,1,0.0,12.04,85.14,Learn Fundamentals,Article,High
4269,SQL/Databases,Backend Development,12.04,48.33,24.59,29.1,None,13.24,Article,Mixed,Beginner,45.55,44.62,7,1,24.71,39.3,74.56,Learn Fundamentals,Video,High
626,Git/GitHub,Software Development,10.7,56.29,27.88,29.07,Beginner,7.18,Video,Mixed,Beginner,28.53,37.0,6,1,30.88,37.15,72.19,Learn Fundamentals,Video,High
1063,Data Preprocessing,Machine Learning,29.82,46.15,17.44,16.26,None,8.48,Practice Questions,Mixed,Intermediate,0.0,31.72,5,1,33.69,19.02,67.76,Learn Fundamentals,Video,High
2357,Deployment,DevOps/Cloud,47.94,19.14,10.5,30.24,Some Experience,2.78,Article,Hands-on,Adaptive,32.78,37.19,4,1,0.0,48.26,68.19,Learn Fundamentals,Article,High
179,Data Preprocessing,Machine Learning,33.98,49.8,19.36,23.94,Beginner,4.93,Video,Visual,Adaptive,44.66,33.44,4,1,40.11,21.53,64.2,Learn Fundamentals,Video,High
1079,FastAPI,Backend Development,24.91,32.52,18.78,41.67,Beginner,16.33,Project,Reading,Advanced,19.77,37.75,5,1,16.87,32.22,74.03,Learn Fundamentals,Article,High
673,Deployment,DevOps/Cloud,41.02,20.39,4.78,,None,1.0,Documentation,Reading,Beginner,13.79,27.72,4,1,0.0,5.71,72.42,Learn Fundamentals,Article,High
684,Deployment,DevOps/Cloud,18.92,4.4,49.01,45.62,Intermediate,15.59,Video,Visual,Advanced,28.4,38.14,5,1,5.82,15.21,79.42,Learn Fundamentals,Video,High
39,Data Preprocessing,Machine Learning,9.38,15.34,36.72,38.49,None,3.9,Video,Hands-on,Advanced,22.45,55.95,5,1,24.47,38.97,83.36,Learn Fundamentals,Article,High
2166,Overfitting & Underfitting,Machine Learning,29.65,46.18,46.34,23.82,None,4.08,Documentation,Reading,Intermediate,28.95,20.81,6,1,32.27,38.83,62.05,Learn Fundamentals,Article,High
459,React,Web Development,21.65,14.83,25.25,21.23,None,4.34,Practice Questions,Visual,Advanced,17.09,25.29,4,1,33.71,22.56,79.68,Learn Fundamentals,Video,High
2315,Model Evaluation,Machine Learning,20.9,41.92,58.58,63.53,None,4.93,Practice Questions,Hands-on,Advanced,43.24,42.12,4,1,47.43,35.17,65.26,Learn Fundamentals,Article,High
2387,FastAPI,Backend Development,38.15,31.59,57.72,43.77,Advanced,16.44,Video,Reading,Advanced,69.39,54.37,3,1,39.11,37.36,59.91,Learn Fundamentals,Article,High
1859,ML Fundamentals,Machine Learning,22.31,54.31,32.66,29.77,Beginner,6.74,Practice Questions,Mixed,Advanced,29.17,30.5,5,1,44.95,39.91,66.02,Learn Fundamentals,Video,High
83,Decision Trees,Machine Learning,36.37,54.49,75.49,47.5,Some Experience,16.46,Article,Visual,Adaptive,25.59,24.1,3,1,32.94,9.86,50.37,Learn Fundamentals,Video,High
3043,Clustering,Machine Learning,44.87,42.37,3.74,49.43,Intermediate,3.03,Documentation,Hands-on,Adaptive,27.63,37.38,3,1,16.36,31.49,64.1,Learn Fundamentals,Article,High
3487,EDA,Data Science,42.28,52.23,34.47,11.96,Intermediate,1.0,Documentation,Reading,Beginner,33.21,31.9,5,1,29.54,28.86,56.3,Learn Fundamentals,Article,High
3240,JavaScript,Web Development,59.45,64.48,42.19,57.14,None,7.66,Video,Hands-on,Adaptive,45.7,40.57,2,0,51.96,17.6,42.49,Study Core Material,Interactive Course,Medium
4608,Overfitting & Underfitting,Machine Learning,0.0,0.0,17.89,0.0,Beginner,4.35,Video,Visual,Intermediate,12.33,21.46,5,1,18.44,10.42,96.42,Learn Fundamentals,Video,High
4906,HTML/CSS,Web Development,55.85,44.59,42.78,45.31,None,5.1,Video,Visual,Beginner,32.62,42.34,3,1,54.52,23.12,50.14,Revision,Interactive Course,Medium
2943,EDA,Data Science,8.58,22.75,15.67,26.77,None,8.76,Practice Questions,Hands-on,Beginner,34.1,28.41,6,1,32.81,16.62,85.75,Learn Fundamentals,Article,High
1919,Decision Trees,Machine Learning,18.4,27.1,23.95,29.58,Beginner,4.8,Interactive Course,Mixed,Beginner,25.46,37.8,3,1,8.06,35.41,77.88,Learn Fundamentals,Video,High
1968,FastAPI,Backend Development,19.73,18.37,38.78,55.56,Beginner,6.82,Interactive Course,Hands-on,Beginner,29.23,25.11,5,1,25.86,22.5,76.87,Learn Fundamentals,Article,High
2214,Logistic Regression,Machine Learning,9.81,24.12,0.0,38.1,Beginner,1.14,Project,Hands-on,Intermediate,36.09,47.48,5,1,20.56,46.36,87.86,Learn Fundamentals,Article,High
4599,React,Web Development,31.5,78.96,25.44,54.8,Some Experience,1.14,Documentation,Hands-on,Beginner,28.81,20.06,5,1,48.73,17.24,55.47,Learn Fundamentals,Article,High
4559,FastAPI,Backend Development,5.73,33.73,30.02,29.48,Intermediate,1.33,Video,Reading,Beginner,29.95,26.71,6,1,0.0,8.41,81.01,Learn Fundamentals,Article,High
4526,Decision Trees,Machine Learning,49.09,20.32,24.21,44.19,Advanced,2.48,Article,Mixed,Beginner,24.71,36.56,4,1,39.37,12.45,64.52,Learn Fundamentals,Video,High
3795,React,Web Development,21.04,20.71,33.26,20.8,Advanced,6.9,Documentation,Hands-on,Intermediate,13.43,22.24,5,1,8.57,32.33,76.61,Learn Fundamentals,Article,High
3219,React,Web Development,33.87,31.81,20.74,13.15,Beginner,2.74,Video,Hands-on,Adaptive,9.96,35.96,5,1,41.16,1.81,69.38,Learn Fundamentals,Article,High
1031,EDA,Data Science,57.9,76.08,51.89,45.19,Beginner,4.01,Project,Hands-on,Beginner,13.4,47.79,2,0,89.58,14.14,37.85,Revision,Video,Medium
474,Git/GitHub,Software Development,29.71,58.82,19.8,33.23,Beginner,2.28,Project,Hands-on,Adaptive,15.73,33.9,5,1,60.6,16.04,63.54,Learn Fundamentals,Article,High
4466,Logistic Regression,Machine Learning,33.97,47.31,24.58,5.01,None,5.02,Project,Mixed,Adaptive,1.57,28.89,4,1,39.65,21.72,63.91,Learn Fundamentals,Video,High
4702,Overfitting & Underfitting,Machine Learning,2.53,0.0,0.0,12.12,Some Experience,1.63,Video,Visual,Beginner,9.37,20.54,5,1,9.92,19.75,98.74,Learn Fundamentals,Video,High
785,Git/GitHub,Software Development,32.11,22.88,36.0,28.2,Beginner,3.18,Video,Mixed,Intermediate,11.48,35.07,4,1,43.57,20.38,69.88,Learn Fundamentals,Video,High
4647,Classification,Machine Learning,55.68,61.67,41.62,40.92,Advanced,4.28,Practice Questions,Reading,Intermediate,42.78,44.35,3,0,40.45,16.49,45.34,Revision,Video,Medium
26,REST APIs,Backend Development,32.59,57.74,41.9,50.08,Some Experience,10.38,Article,Visual,Beginner,22.43,59.33,5,1,28.08,33.2,58.0,Learn Fundamentals,Video,High
4159,Decision Trees,Machine Learning,52.35,42.52,59.88,35.42,None,6.05,Practice Questions,Reading,Adaptive,22.75,30.12,4,1,58.12,18.35,49.09,Revision,Practice Questions,Medium
4418,Overfitting & Underfitting,Machine Learning,0.0,8.91,0.0,63.88,Intermediate,1.7,Video,Reading,Advanced,0.0,12.13,6,1,9.39,6.04,97.33,Learn Fundamentals,Article,High
313,Git/GitHub,Software Development,0.0,0.0,12.03,8.17,Beginner,7.96,Documentation,Mixed,Beginner,13.49,21.77,4,1,18.63,20.67,97.59,Learn Fundamentals,Video,High
2297,REST APIs,Backend Development,11.2,29.54,23.23,53.96,Beginner,12.66,Interactive Course,Reading,Beginner,26.27,28.47,5,1,37.28,18.82,80.89,Learn Fundamentals,Article,High
2652,Classification,Machine Learning,27.26,20.48,37.2,38.54,Some Experience,2.33,Article,Reading,Intermediate,11.87,34.33,3,1,19.74,28.58,72.79,Learn Fundamentals,Article,High
4575,SQL/Databases,Backend Development,19.28,39.02,42.85,44.11,Some Experience,11.44,Practice Questions,Reading,Adaptive,44.38,56.78,4,1,41.2,40.66,70.08,Learn Fundamentals,Article,High
1176,EDA,Data Science,12.35,64.39,54.76,49.5,Beginner,7.43,Interactive Course,Hands-on,Beginner,50.64,49.76,6,1,60.82,31.82,63.56,Learn Fundamentals,Article,High
2529,EDA,Data Science,39.29,41.31,19.71,22.22,Advanced,6.02,Article,Visual,Intermediate,19.6,37.35,4,1,30.14,32.73,64.02,Learn Fundamentals,Video,High
1767,FastAPI,Backend Development,0.0,8.87,10.25,2.88,None,4.51,Documentation,Mixed,Intermediate,6.17,23.81,7,1,0.0,26.17,95.29,Learn Fundamentals,Video,High
3211,Clustering,Machine Learning,37.4,38.82,47.93,18.6,Beginner,3.88,Documentation,Reading,Beginner,26.63,37.23,3,1,21.77,21.77,60.07,Learn Fundamentals,Article,High
4608,REST APIs,Backend Development,16.85,7.78,0.0,30.02,Beginner,4.35,Video,Visual,Intermediate,8.68,28.94,4,1,0.0,30.91,89.24,Learn Fundamentals,Video,High
643,FastAPI,Backend Development,4.34,19.01,25.9,47.12,Some Experience,4.49,Video,Mixed,Advanced,24.17,47.91,5,1,0.0,34.72,86.95,Learn Fundamentals,Video,High
4234,Classification,Machine Learning,47.82,30.32,37.56,42.73,None,3.7,Interactive Course,Hands-on,Beginner,32.27,26.76,3,1,41.37,11.87,59.48,Revision,Practice Questions,Medium
1455,Overfitting & Underfitting,Machine Learning,17.72,38.51,42.27,63.34,None,4.99,Interactive Course,Hands-on,Intermediate,23.3,31.17,6,1,22.62,27.52,71.13,Learn Fundamentals,Article,High
4875,Model Evaluation,Machine Learning,16.88,9.3,4.62,37.93,Beginner,1.88,Practice Questions,Reading,Beginner,41.96,37.48,4,1,0.0,37.07,87.84,Learn Fundamentals,Article,High
2762,Deployment,DevOps/Cloud,0.0,11.14,6.15,25.69,None,3.18,Video,Mixed,Intermediate,24.96,25.46,6,1,0.0,13.98,95.43,Learn Fundamentals,Video,High
968,ML Fundamentals,Machine Learning,19.84,66.35,64.53,55.68,Beginner,2.53,Interactive Course,Visual,Intermediate,8.22,48.31,5,1,52.97,27.21,57.27,Learn Fundamentals,Video,High
4048,Git/GitHub,Software Development,39.11,36.45,51.95,36.89,Intermediate,6.74,Video,Visual,Adaptive,40.25,26.72,5,1,32.09,22.31,59.12,Learn Fundamentals,Video,High
1206,ML Fundamentals,Machine Learning,21.19,15.57,37.01,38.85,Beginner,5.46,Documentation,Mixed,Adaptive,13.39,25.4,3,1,13.08,28.42,77.33,Learn Fundamentals,Video,High
39,Model Evaluation,Machine Learning,53.49,43.28,26.19,34.45,None,3.9,Video,Hands-on,Advanced,19.58,17.96,5,1,50.87,29.55,55.03,Revision,Practice Questions,Medium
3449,Model Evaluation,Machine Learning,31.5,46.7,0.25,33.57,Some Experience,10.43,Video,Mixed,Intermediate,40.95,24.4,4,1,31.68,24.23,70.19,Learn Fundamentals,Video,High
919,Clustering,Machine Learning,21.6,8.09,17.54,4.87,Intermediate,3.34,Video,Mixed,Intermediate,25.02,19.57,6,1,8.73,16.8,83.27,Learn Fundamentals,Video,High
50,Overfitting & Underfitting,Machine Learning,0.0,16.35,11.53,23.98,Some Experience,3.92,Video,Mixed,Intermediate,5.99,32.25,6,1,16.6,26.89,92.79,Learn Fundamentals,Video,High
3536,EDA,Data Science,15.95,29.06,41.04,4.91,None,17.62,Documentation,Mixed,Intermediate,25.76,20.55,5,1,11.63,26.88,75.1,Learn Fundamentals,Video,High
3650,EDA,Data Science,0.0,36.94,43.26,28.54,Beginner,5.6,Practice Questions,Hands-on,Adaptive,18.69,17.37,5,1,25.6,29.67,80.27,Learn Fundamentals,Article,High
4805,Data Preprocessing,Machine Learning,21.31,7.02,4.98,31.55,Advanced,2.25,Article,Mixed,Intermediate,25.32,37.05,4,1,22.32,14.37,86.24,Learn Fundamentals,Video,High
1460,Classification,Machine Learning,0.0,25.38,23.0,13.64,None,6.98,Video,Visual,Beginner,28.45,27.06,6,1,8.67,12.07,87.79,Learn Fundamentals,Video,High
465,Decision Trees,Machine Learning,50.04,80.05,58.36,22.45,Intermediate,3.6,Practice Questions,Hands-on,Intermediate,11.08,24.81,5,1,62.86,20.94,39.3,Revision,Video,Medium
1894,EDA,Data Science,0.0,30.1,6.85,27.72,None,2.4,Video,Mixed,Advanced,18.92,29.53,6,1,2.51,10.41,89.6,Learn Fundamentals,Video,High
2930,REST APIs,Backend Development,2.32,18.59,0.0,28.88,None,,Video,Mixed,Advanced,31.91,36.36,6,1,16.12,18.63,93.26,Learn Fundamentals,Video,High
1795,Logistic Regression,Machine Learning,29.37,67.11,54.25,56.84,Some Experience,8.37,Video,Hands-on,Beginner,35.25,36.18,5,1,67.48,39.2,54.33,Learn Fundamentals,Article,High
976,Logistic Regression,Machine Learning,35.35,9.71,32.21,22.05,Beginner,12.49,Project,Reading,Beginner,27.66,25.57,3,1,35.66,45.14,72.97,Learn Fundamentals,Article,High
2236,FastAPI,Backend Development,16.49,2.48,11.68,0.0,Beginner,5.45,Project,Visual,Intermediate,0.0,22.71,5,1,0.0,17.01,88.68,Learn Fundamentals,Video,High
2955,ML Fundamentals,Machine Learning,,0.0,4.35,0.0,None,5.96,Project,Mixed,Adaptive,11.85,31.39,5,1,0.0,21.45,99.13,Learn Fundamentals,Video,High
2287,ML Fundamentals,Machine Learning,6.24,2.62,10.56,21.34,Some Experience,3.46,Project,Hands-on,Adaptive,29.26,28.71,5,1,0.0,43.95,93.98,Learn Fundamentals,Article,High
4827,React,Web Development,36.05,45.97,39.14,41.18,Some Experience,2.84,Practice Questions,Visual,Beginner,5.58,21.5,4,1,41.97,15.27,60.36,Learn Fundamentals,Video,High
982,Data Preprocessing,Machine Learning,32.02,44.66,41.66,41.36,Intermediate,7.5,Practice Questions,Hands-on,Intermediate,38.33,28.1,5,1,29.14,23.53,62.26,Learn Fundamentals,Article,High
2317,SQL/Databases,Backend Development,34.39,10.79,16.28,15.59,None,1.23,Project,Hands-on,Adaptive,31.71,33.63,3,1,28.47,34.87,76.31,Learn Fundamentals,Article,High
232,Logistic Regression,Machine Learning,19.66,32.39,68.42,0.0,Intermediate,5.46,Interactive Course,Mixed,Advanced,10.66,29.85,7,1,40.4,22.11,66.77,Learn Fundamentals,Video,High
4768,Linear Regression,Machine Learning,25.72,36.67,36.43,15.01,Beginner,4.83,Practice Questions,Mixed,Intermediate,15.22,41.38,4,1,31.38,17.54,68.85,Learn Fundamentals,Video,High
1217,JavaScript,Web Development,17.49,24.79,33.07,33.19,Beginner,1.57,Video,Reading,Beginner,27.52,25.22,5,1,36.48,17.04,77.2,Learn Fundamentals,Article,High
2620,Model Evaluation,Machine Learning,0.0,10.39,25.24,26.06,None,10.56,Video,Mixed,Beginner,9.3,19.3,7,1,13.73,16.39,91.83,Learn Fundamentals,Video,High
3438,Linear Regression,Machine Learning,37.61,37.22,19.28,41.5,None,2.43,Article,Reading,Advanced,17.22,36.61,4,1,33.92,18.0,66.18,Learn Fundamentals,Article,High
3758,Logistic Regression,Machine Learning,0.0,0.0,24.18,10.02,None,11.14,Article,Visual,Advanced,36.15,31.27,5,1,1.99,36.64,95.16,Learn Fundamentals,Video,High
4717,Overfitting & Underfitting,Machine Learning,20.87,37.21,25.54,31.52,Beginner,17.18,Video,Hands-on,Adaptive,29.57,30.88,5,1,35.86,24.68,73.3,Learn Fundamentals,Article,High
2032,Data Preprocessing,Machine Learning,19.93,12.63,34.09,0.3,Advanced,3.12,Article,Hands-on,Advanced,10.45,13.66,5,1,8.54,31.71,79.43,Learn Fundamentals,Article,High
4148,Git/GitHub,Software Development,85.33,48.01,8.04,29.37,Intermediate,3.05,Interactive Course,Hands-on,Advanced,21.42,17.37,3,1,50.13,9.47,41.32,Study Core Material,Interactive Course,Medium
2944,Overfitting & Underfitting,Machine Learning,30.89,2.78,21.64,47.02,Some Experience,5.16,Interactive Course,Visual,Advanced,25.69,42.47,3,1,13.84,26.3,79.39,Learn Fundamentals,Video,High
4238,Logistic Regression,Machine Learning,48.0,62.59,34.19,55.58,Intermediate,5.17,Documentation,Reading,Advanced,25.67,54.08,5,1,54.04,12.32,50.39,Study Core Material,Article,Medium
3523,Decision Trees,Machine Learning,0.0,30.09,27.51,36.19,Beginner,8.13,Project,Hands-on,Advanced,35.88,36.66,6,1,18.28,40.59,85.47,Learn Fundamentals,Article,High
432,FastAPI,Backend Development,38.12,21.5,41.93,9.96,Advanced,2.55,Interactive Course,Reading,Intermediate,0.0,25.49,4,1,40.75,3.44,66.1,Learn Fundamentals,Article,High
485,FastAPI,Backend Development,10.91,24.5,,36.97,Beginner,2.66,Documentation,Mixed,Beginner,15.39,20.22,6,1,31.29,17.98,81.75,Learn Fundamentals,Video,High
154,Git/GitHub,Software Development,13.7,23.8,23.82,30.14,Advanced,2.87,Practice Questions,Hands-on,Intermediate,15.92,32.68,5,1,39.79,39.57,81.25,Learn Fundamentals,Article,High
1359,Deployment,DevOps/Cloud,22.74,18.48,0.59,26.89,None,6.93,Interactive Course,Mixed,Intermediate,20.1,33.16,5,1,0.0,22.63,82.97,Learn Fundamentals,Video,High
1671,JavaScript,Web Development,5.44,14.59,23.1,30.37,Some Experience,6.93,Interactive Course,Reading,Adaptive,33.06,25.65,6,1,24.33,16.45,88.29,Learn Fundamentals,Article,High
3491,HTML/CSS,Web Development,29.28,28.23,19.38,24.51,Some Experience,8.01,Practice Questions,Hands-on,Intermediate,4.46,31.91,5,1,18.22,20.53,73.02,Learn Fundamentals,Article,High
1814,REST APIs,Backend Development,52.06,47.84,43.88,33.0,Intermediate,2.79,Video,Mixed,Adaptive,35.46,32.17,2,1,39.88,27.25,50.84,Learn Fundamentals,Video,High
3183,REST APIs,Backend Development,32.68,26.81,39.26,23.32,Intermediate,7.18,Video,Hands-on,Intermediate,38.8,56.68,4,1,33.26,24.76,67.76,Learn Fundamentals,Article,High
1033,ML Fundamentals,Machine Learning,32.41,39.36,32.04,58.58,None,8.58,Video,Hands-on,Advanced,29.8,52.3,4,1,19.06,34.09,65.58,Learn Fundamentals,Article,High
3468,Classification,Machine Learning,0.0,1.21,15.92,12.73,Some Experience,6.26,Video,Hands-on,Beginner,1.23,29.31,6,1,12.02,28.31,96.45,Learn Fundamentals,Article,High
1797,Git/GitHub,Software Development,29.17,13.1,,29.55,Intermediate,4.96,Project,Reading,Beginner,31.75,29.41,6,1,27.56,32.84,74.16,Learn Fundamentals,Article,High
136,Clustering,Machine Learning,48.07,46.66,47.19,71.54,Advanced,6.88,Project,Visual,Adaptive,53.09,57.16,3,1,31.74,30.37,52.53,Learn Fundamentals,Video,High
2804,Logistic Regression,Machine Learning,15.87,22.28,28.95,15.83,None,11.24,Article,Mixed,Advanced,33.62,29.05,5,1,15.96,27.15,79.59,Learn Fundamentals,Video,High
1074,React,Web Development,0.0,14.94,50.02,42.24,Intermediate,7.15,Documentation,Mixed,Advanced,22.97,24.38,6,1,27.92,40.04,85.51,Learn Fundamentals,Video,High
1588,Git/GitHub,Software Development,64.05,72.08,42.35,71.46,None,3.99,Interactive Course,Hands-on,Advanced,63.36,23.83,2,0,39.9,35.98,37.88,Learn Fundamentals,Article,High
3542,Git/GitHub,Software Development,,78.21,64.25,8.5,Intermediate,11.67,Video,Hands-on,Adaptive,58.11,23.32,6,1,51.85,36.37,43.8,Learn Fundamentals,Article,High
4469,JavaScript,Web Development,0.36,49.01,45.24,35.54,Beginner,3.52,Interactive Course,Hands-on,Advanced,38.0,26.88,5,1,40.93,39.0,76.07,Learn Fundamentals,Article,High
4528,SQL/Databases,Backend Development,56.95,57.06,33.13,23.12,Some Experience,4.08,Video,Hands-on,Advanced,23.17,18.23,3,0,42.54,39.41,47.78,Revision,Video,Medium
1524,Overfitting & Underfitting,Machine Learning,0.0,10.81,38.15,15.29,None,9.21,Interactive Course,Mixed,Adaptive,17.1,27.18,6,1,6.79,17.89,89.13,Learn Fundamentals,Video,High
1373,Deployment,DevOps/Cloud,0.0,9.21,11.22,49.16,Beginner,5.85,Practice Questions,Visual,Beginner,20.14,36.83,6,1,1.46,16.58,94.99,Learn Fundamentals,Video,High
3688,Clustering,Machine Learning,42.27,56.66,13.88,30.93,Some Experience,3.41,Article,Mixed,Adaptive,37.64,42.01,3,1,33.45,38.81,59.09,Learn Fundamentals,Video,High
3434,Linear Regression,Machine Learning,21.53,27.6,44.0,22.07,Intermediate,3.59,Project,Hands-on,Adaptive,13.1,36.08,6,1,38.98,26.74,72.15,Learn Fundamentals,Article,High
1142,Decision Trees,Machine Learning,7.77,49.19,25.49,30.55,Intermediate,10.73,Practice Questions,Visual,Adaptive,39.17,33.35,5,1,24.13,20.87,76.26,Learn Fundamentals,Video,High
3490,HTML/CSS,Web Development,0.45,11.94,0.0,25.19,None,,Project,Visual,Intermediate,9.22,28.34,5,1,5.45,20.48,96.19,Learn Fundamentals,Video,High
4185,Deployment,DevOps/Cloud,31.98,42.14,3.62,72.86,Some Experience,1.15,Practice Questions,Hands-on,Beginner,48.55,44.3,5,1,66.53,42.92,70.65,Learn Fundamentals,Article,High
4756,Clustering,Machine Learning,0.34,0.0,15.57,12.16,Some Experience,,Video,Visual,Beginner,,33.48,5,1,0.0,5.41,96.72,Learn Fundamentals,Video,High
1308,Linear Regression,Machine Learning,4.9,21.89,20.01,9.66,None,5.24,Video,Reading,Intermediate,37.89,6.55,6,1,26.91,23.54,86.98,Learn Fundamentals,Article,High
4893,Decision Trees,Machine Learning,,34.8,58.68,43.2,None,9.14,Project,Hands-on,Adaptive,4.84,33.57,4,1,11.91,30.5,66.26,Learn Fundamentals,Article,High
2378,HTML/CSS,Web Development,38.63,76.64,50.78,64.87,None,4.32,Documentation,Visual,Advanced,34.13,54.48,3,1,39.87,27.49,47.54,Learn Fundamentals,Video,High
903,ML Fundamentals,Machine Learning,33.33,23.08,45.57,14.04,Intermediate,3.29,Interactive Course,Mixed,Advanced,40.09,25.3,5,1,24.72,35.2,67.3,Learn Fundamentals,Video,High
1582,ML Fundamentals,Machine Learning,53.78,33.28,41.77,26.01,Intermediate,8.53,Article,Reading,Beginner,11.19,29.35,3,1,32.55,8.37,54.77,Learn Fundamentals,Article,High
3333,JavaScript,Web Development,54.6,55.62,32.13,45.92,Beginner,3.45,Practice Questions,Mixed,Adaptive,24.76,38.68,2,1,60.98,27.71,49.59,Revision,Video,Medium
3957,SQL/Databases,Backend Development,0.0,0.0,27.81,41.62,Beginner,4.45,Article,Hands-on,Beginner,0.0,35.1,4,1,6.59,7.19,94.44,Learn Fundamentals,Article,High
